Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1987","1987","hg/ha","26068","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1988","1988","hg/ha","28498","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1989","1989","hg/ha","30892","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1990","1990","hg/ha","30729","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1991","1991","hg/ha","30064","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1992","1992","hg/ha","32126","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1993","1993","hg/ha","33616","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1994","1994","hg/ha","34587","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1995","1995","hg/ha","35700","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1996","1996","hg/ha","36663","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1997","1997","hg/ha","37583","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1998","1998","hg/ha","38760","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1999","1999","hg/ha","39712","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2000","2000","hg/ha","41124","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2001","2001","hg/ha","41673","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2002","2002","hg/ha","44409","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2003","2003","hg/ha","45067","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2004","2004","hg/ha","46909","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2005","2005","hg/ha","47262","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2006","2006","hg/ha","47498","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2007","2007","hg/ha","48462","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2008","2008","hg/ha","48976","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2009","2009","hg/ha","50803","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2010","2010","hg/ha","51775","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2011","2011","hg/ha","53812","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2012","2012","hg/ha","54620","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2013","2013","hg/ha","54255","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2014","2014","hg/ha","55778","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2015","2015","hg/ha","56012","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2016","2016","hg/ha","54410","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2017","2017","hg/ha","54344","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2018","2018","hg/ha","56854","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2019","2019","hg/ha","57158","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","2020","2020","hg/ha","57966","E","Estimated value"
